Date,Close
2012-01-01 00:00:00+00:00,4.84
2012-01-02 00:00:00+00:00,5.0
2012-01-03 00:00:00+00:00,5.29
2012-01-04 00:00:00+00:00,5.57
2012-01-05 00:00:00+00:00,6.42
2012-01-06 00:00:00+00:00,6.4
2012-01-07 00:00:00+00:00,6.8
2012-01-08 00:00:00+00:00,6.9
2012-01-09 00:00:00+00:00,6.48
2012-01-10 00:00:00+00:00,7.1
2012-01-11 00:00:00+00:00,7.0
2012-01-12 00:00:00+00:00,6.51
2012-01-13 00:00:00+00:00,6.9
2012-01-14 00:00:00+00:00,6.4
2012-01-15 00:00:00+00:00,7.15
2012-01-16 00:00:00+00:00,7.1
2012-01-17 00:00:00+00:00,6.9
2012-01-18 00:00:00+00:00,7.1
2012-01-19 00:00:00+00:00,6.01
2012-01-20 00:00:00+00:00,6.95
2012-01-21 00:00:00+00:00,6.95
2012-01-22 00:00:00+00:00,6.83
2012-01-23 00:00:00+00:00,6.52
2012-01-24 00:00:00+00:00,6.55
2012-01-25 00:00:00+00:00,6.0
2012-01-26 00:00:00+00:00,6.27
2012-01-27 00:00:00+00:00,5.88
2012-01-28 00:00:00+00:00,4.91
2012-01-29 00:00:00+00:00,5.9
2012-01-30 00:00:00+00:00,5.58
2012-01-31 00:00:00+00:00,5.55
2012-02-01 00:00:00+00:00,5.99
2012-02-02 00:00:00+00:00,6.26
2012-02-03 00:00:00+00:00,6.29
2012-02-04 00:00:00+00:00,6.5
2012-02-05 00:00:00+00:00,5.7
2012-02-06 00:00:00+00:00,5.9
2012-02-07 00:00:00+00:00,5.51
2012-02-08 00:00:00+00:00,5.66
2012-02-09 00:00:00+00:00,5.87
2012-02-10 00:00:00+00:00,5.88
2012-02-11 00:00:00+00:00,5.5
2012-02-12 00:00:00+00:00,5.55
2012-02-13 00:00:00+00:00,5.79
2012-02-14 00:00:00+00:00,4.56
2012-02-15 00:00:00+00:00,4.69
2012-02-16 00:00:00+00:00,4.98
2012-02-17 00:00:00+00:00,4.69
2012-02-18 00:00:00+00:00,4.38
2012-02-19 00:00:00+00:00,4.38
2012-02-20 00:00:00+00:00,4.4
2012-02-21 00:00:00+00:00,4.53
2012-02-22 00:00:00+00:00,4.57
2012-02-23 00:00:00+00:00,5.0
2012-02-24 00:00:00+00:00,5.12
2012-02-25 00:00:00+00:00,5.0
2012-02-26 00:00:00+00:00,4.96
2012-02-27 00:00:00+00:00,5.1
2012-02-28 00:00:00+00:00,4.71
2012-02-29 00:00:00+00:00,4.99
2012-03-01 00:00:00+00:00,5.03
2012-03-02 00:00:00+00:00,4.79
2012-03-03 00:00:00+00:00,4.65
2012-03-04 00:00:00+00:00,4.81
2012-03-05 00:00:00+00:00,5.0
2012-03-06 00:00:00+00:00,4.99
2012-03-07 00:00:00+00:00,5.01
2012-03-08 00:00:00+00:00,5.0
2012-03-09 00:00:00+00:00,5.07
2012-03-10 00:00:00+00:00,4.94
2012-03-11 00:00:00+00:00,5.0
2012-03-12 00:00:00+00:00,4.98
2012-03-13 00:00:00+00:00,5.28
2012-03-14 00:00:00+00:00,5.27
2012-03-15 00:00:00+00:00,5.37
2012-03-16 00:00:00+00:00,5.39
2012-03-17 00:00:00+00:00,5.42
2012-03-18 00:00:00+00:00,5.24
2012-03-19 00:00:00+00:00,4.97
2012-03-20 00:00:00+00:00,4.8
2012-03-21 00:00:00+00:00,4.96
2012-03-22 00:00:00+00:00,4.8
2012-03-23 00:00:00+00:00,4.78
2012-03-24 00:00:00+00:00,4.72
2012-03-25 00:00:00+00:00,4.54
2012-03-26 00:00:00+00:00,4.68
2012-03-27 00:00:00+00:00,4.73
2012-03-28 00:00:00+00:00,4.87
2012-03-29 00:00:00+00:00,4.77
2012-03-30 00:00:00+00:00,4.88
2012-03-31 00:00:00+00:00,4.92
2012-04-01 00:00:00+00:00,4.89
2012-04-02 00:00:00+00:00,5.03
2012-04-03 00:00:00+00:00,4.95
2012-04-04 00:00:00+00:00,4.91
2012-04-05 00:00:00+00:00,4.9
2012-04-06 00:00:00+00:00,4.98
2012-04-07 00:00:00+00:00,4.7
2012-04-08 00:00:00+00:00,4.76
2012-04-09 00:00:00+00:00,4.85
2012-04-10 00:00:00+00:00,4.8
2012-04-11 00:00:00+00:00,4.88
2012-04-12 00:00:00+00:00,4.86
2012-04-13 00:00:00+00:00,4.89
2012-04-14 00:00:00+00:00,4.98
2012-04-15 00:00:00+00:00,4.92
2012-04-16 00:00:00+00:00,4.94
2012-04-17 00:00:00+00:00,4.99
2012-04-18 00:00:00+00:00,5.11
2012-04-19 00:00:00+00:00,5.16
2012-04-20 00:00:00+00:00,5.19
2012-04-21 00:00:00+00:00,5.26
2012-04-22 00:00:00+00:00,5.18
2012-04-23 00:00:00+00:00,5.15
2012-04-24 00:00:00+00:00,5.11
2012-04-25 00:00:00+00:00,4.9
2012-04-26 00:00:00+00:00,5.08
2012-04-27 00:00:00+00:00,5.04
2012-04-28 00:00:00+00:00,4.85
2012-04-29 00:00:00+00:00,4.91
2012-04-30 00:00:00+00:00,5.0
2012-05-01 00:00:00+00:00,4.97
2012-05-02 00:00:00+00:00,5.08
2012-05-03 00:00:00+00:00,5.1
2012-05-04 00:00:00+00:00,5.1
2012-05-05 00:00:00+00:00,5.04
2012-05-06 00:00:00+00:00,5.05
2012-05-07 00:00:00+00:00,5.06
2012-05-08 00:00:00+00:00,5.04
2012-05-09 00:00:00+00:00,5.04
2012-05-10 00:00:00+00:00,5.01
2012-05-11 00:00:00+00:00,4.93
2012-05-12 00:00:00+00:00,4.97
2012-05-13 00:00:00+00:00,4.94
2012-05-14 00:00:00+00:00,4.99
2012-05-15 00:00:00+00:00,4.95
2012-05-16 00:00:00+00:00,5.04
2012-05-17 00:00:00+00:00,5.03
2012-05-18 00:00:00+00:00,5.06
2012-05-19 00:00:00+00:00,5.05
2012-05-20 00:00:00+00:00,5.08
2012-05-21 00:00:00+00:00,5.01
2012-05-22 00:00:00+00:00,5.07
2012-05-23 00:00:00+00:00,5.08
2012-05-24 00:00:00+00:00,5.12
2012-05-25 00:00:00+00:00,5.09
2012-05-26 00:00:00+00:00,5.07
2012-05-27 00:00:00+00:00,5.06
2012-05-28 00:00:00+00:00,5.08
2012-05-29 00:00:00+00:00,5.12
2012-05-30 00:00:00+00:00,5.13
2012-05-31 00:00:00+00:00,5.14
2012-06-01 00:00:00+00:00,5.22
2012-06-02 00:00:00+00:00,5.21
2012-06-03 00:00:00+00:00,5.19
2012-06-04 00:00:00+00:00,5.23
2012-06-05 00:00:00+00:00,5.33
2012-06-06 00:00:00+00:00,5.48
2012-06-07 00:00:00+00:00,5.48
2012-06-08 00:00:00+00:00,5.61
2012-06-09 00:00:00+00:00,5.54
2012-06-10 00:00:00+00:00,5.43
2012-06-11 00:00:00+00:00,5.53
2012-06-12 00:00:00+00:00,5.9
2012-06-13 00:00:00+00:00,5.95
2012-06-14 00:00:00+00:00,5.87
2012-06-15 00:00:00+00:00,6.08
2012-06-16 00:00:00+00:00,6.4
2012-06-17 00:00:00+00:00,6.16
2012-06-18 00:00:00+00:00,6.1
2012-06-19 00:00:00+00:00,6.26
2012-06-20 00:00:00+00:00,6.65
2012-06-21 00:00:00+00:00,6.64
2012-06-22 00:00:00+00:00,6.59
2012-06-23 00:00:00+00:00,6.36
2012-06-24 00:00:00+00:00,6.44
2012-06-25 00:00:00+00:00,6.2
2012-06-26 00:00:00+00:00,6.44
2012-06-27 00:00:00+00:00,6.52
2012-06-28 00:00:00+00:00,6.5
2012-06-29 00:00:00+00:00,6.57
2012-06-30 00:00:00+00:00,6.54
2012-07-01 00:00:00+00:00,6.54
2012-07-02 00:00:00+00:00,6.55
